"Table A2P - Number of households owed a prevention duty by reason for loss, or threat of loss, of last settled homeEngland, October to December 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
E06000052,Cornwall,,,587,,295,,7,1,5,1,4,,2,230,4,0,2,39,,15,84,21,43,6,,7,2,1,4,,36,2,14,20,,29,0,51
E07000079,Cotswold,,,20,,7,,1,0,1,0,0,,0,3,0,1,0,1,,3,3,1,1,0,,2,0,1,1,,0,0,0,0,,1,0,2
E08000026,Coventry,,,176,,70,,5,0,1,2,10,,2,41,1,0,0,8,,9,24,1,8,5,,16,12,1,3,,14,0,7,7,,2,2,25
E07000163,Craven,,,17,,7,,1,0,0,0,0,,1,3,0,0,0,2,,1,4,2,1,0,,2,2,0,0,,0,0,0,0,,0,0,0
E07000226,Crawley,,,79,,36,,1,1,0,0,2,,2,26,1,0,1,2,,4,19,8,2,0,,0,0,0,0,,1,0,1,0,,0,0,9
E09000008,Croydon,,,179,,64,,3,1,0,0,4,,0,37,4,0,0,15,,2,59,3,2,0,,2,0,0,2,,8,0,2,6,,1,2,36
E07000096,Dacorum,,,87,,26,,1,0,0,2,4,,1,16,0,0,0,2,,0,26,6,7,3,,1,0,0,1,,2,1,0,1,,1,0,15
E06000005,Darlington,,,68,,37,,4,0,2,1,1,,0,24,2,1,0,2,,1,13,5,8,1,,2,0,0,2,,0,0,0,0,,0,0,1
E07000107,Dartford,,,70,,26,,2,0,3,0,3,,1,17,0,0,0,0,,0,21,3,3,1,,13,13,0,0,,0,0,0,0,,1,0,2
E06000015,Derby,,,370,,77,,12,0,4,0,4,,0,42,1,4,2,8,,29,112,33,60,8,,4,2,1,1,,30,2,16,12,,6,7,4
E07000035,Derbyshire Dales,,,49,,8,,0,0,0,0,0,,0,7,0,0,0,1,,0,13,10,5,1,,5,5,0,0,,1,0,1,0,,0,0,6
E08000017,Doncaster,,,100,,28,,0,0,0,0,4,,0,23,0,1,0,0,,2,31,4,10,2,,1,0,0,1,,1,0,1,0,,3,0,18
E06000059,Dorset,,,152,,60,,2,0,0,1,2,,0,43,1,0,0,11,,24,27,8,9,2,,4,2,0,2,,2,1,1,0,,3,0,13
E07000108,Dover,,,74,,27,,1,0,1,0,1,,1,21,1,0,0,1,,9,13,13,5,0,,0,0,0,0,,0,0,0,0,,1,0,6
