,,,,Total owed a prevention duty1,,"End of assured shorthold (AST) private rented tenancy, due to..",,,,,,,,,,,,,,,End of non-AST private rented tenancy,Family or friends no longer willing or able to accommodate,Non-violent relationship breakdown with partner,Domestic abuse,Other violence or harrassment,,"End of social rented tenancy, due to..",,,,,"Eviction from supported housing, due to..",,,,,Left institution with no accommodation available,Required to leave accommodation provided by Home Office as asylum support,Other reasons / not known5
,,,,,,Total end of AST,,Of which:,,,,,,,,,,,,,,,,,,,Total end of social rented tenancy,Of which:,,,,Total evicted from supported housing,Of which:,,,,,,
,,,,,,,,"Rent arrears, due to..",,,,,,"Breach of tenancy, not related to rent arrears",Landlord wishing to sell or re-let the property,Tenant complained to the council / agent / landlord about disrepair,Illegal eviction ,Tenant abandoned property,Other reasons / not known,,,,,,,,,Rent arrears2,"Breach of tenancy, not related to rent arrears",Other reasons / not known3,,,Rent arrears,"Breach of tenancy or licence, not related to rent arrears",Other reasons / not known4,,,,
,,,,,,,,Tenant difficulty budgeting or making other payment(s) ,Increase in rent  ,Reduction in employment income,Changes in benefit entitlement,Change in personal circumstances ,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000015,Derby,,,354,,79,,15,0,9,3,4,,2,41,1,2,2,0,,6,104,37,63,10,,8,1,2,5,,32,3,21,8,,5,4,6
E07000035,Derbyshire Dales,,,54,,11,,2,0,1,0,0,,0,6,0,0,0,2,,2,14,7,7,1,,7,6,0,1,,1,0,1,0,,0,0,4
E08000017,Doncaster,,,78,,14,,0,0,0,0,1,,0,12,0,0,0,1,,0,15,6,14,6,,0,0,0,0,,2,0,2,0,,1,0,20
E06000059,Dorset,,,170,,37,,3,0,0,1,4,,1,24,1,0,0,3,,9,51,12,12,2,,2,2,0,0,,3,0,2,1,,2,0,40
E07000108,Dover,,,63,,20,,1,0,0,1,1,,0,15,0,0,0,2,,2,21,5,6,0,,1,1,0,0,,0,0,0,0,,0,0,8
E08000027,Dudley,,,38,,11,,0,0,0,0,0,,0,5,2,0,0,4,,0,2,12,2,1,,0,0,0,0,,1,0,0,1,,0,0,9
E09000009,Ealing,,,343,,68,,0,1,5,2,3,,1,38,2,0,1,15,,2,124,7,20,5,,4,2,1,1,,4,0,0,4,,3,1,105
E07000009,East Cambridgeshire,,,66,,12,,0,0,1,0,0,,0,10,0,0,0,1,,2,19,11,3,2,,5,4,1,0,,0,0,0,0,,0,0,12
E07000040,East Devon,,,107,,21,,2,0,0,0,2,,2,10,0,0,1,4,,2,31,14,15,0,,8,2,2,4,,0,0,0,0,,0,0,16
E07000085,East Hampshire,,,47,,10,,0,0,1,0,1,,0,7,0,0,1,0,,5,11,7,7,0,,1,1,0,0,,0,0,0,0,,0,0,6
E07000242,East Hertfordshire,,,56,,26,,0,0,1,0,2,,1,19,0,0,0,3,,0,19,0,1,0,,5,2,3,0,,0,0,0,0,,0,0,5
E07000137,East Lindsey,,,..,,..,,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..,,..,..,..,..,,..,..,..
E07000152,East Northamptonshire,,,32,,5,,0,0,0,0,0,,0,5,0,0,0,0,,0,12,7,2,0,,0,0,0,0,,1,0,0,1,,1,0,4
E06000011,East Riding of Yorkshire,,,48,,17,,1,0,0,0,1,,0,14,0,0,0,1,,4,11,4,4,1,,0,0,0,0,,0,0,0,0,,1,0,6
E07000193,East Staffordshire,,,15,,5,,0,0,0,0,2,,0,3,0,0,0,0,,2,0,1,1,1,,0,0,0,0,,0,0,0,0,,1,0,4
E07000244,East Suffolk,,,151,,29,,4,0,1,0,4,,2,18,0,0,0,0,,4,29,22,15,3,,34,32,1,1,,4,2,1,1,,1,0,10
E07000061,Eastbourne,,,33,,12,,0,0,0,0,0,,0,12,0,0,0,0,,2,7,2,0,0,,0,0,0,0,,1,0,0,1,,0,0,9
E07000086,Eastleigh,,,43,,7,,1,0,0,1,1,,0,4,0,0,0,0,,3,11,9,6,0,,3,2,0,1,,1,1,0,0,,0,0,3
E07000030,Eden,,,18,,3,,0,0,0,0,0,,0,3,0,0,0,0,,5,4,1,3,0,,1,0,1,0,,1,0,1,0,,0,0,0
E07000207,Elmbridge,,,53,,10,,0,0,0,0,1,,0,6,0,0,0,3,,3,17,5,2,1,,1,0,1,0,,1,0,0,1,,0,0,13
E09000010,Enfield,,,263,,47,,3,0,2,1,3,,1,28,0,1,0,8,,5,121,6,16,2,,3,0,2,1,,2,0,0,2,,0,0,61
E07000072,Epping Forest,,,35,,13,,1,0,0,0,2,,0,8,0,0,0,2,,0,12,4,2,1,,0,0,0,0,,0,0,0,0,,0,0,3
E07000208,Epsom and Ewell,,,29,,10,,0,0,0,0,0,,0,6,0,0,0,4,,0,11,2,1,0,,0,0,0,0,,0,0,0,0,,0,0,5
E07000036,Erewash,,,35,,10,,0,0,0,1,1,,0,6,0,0,0,2,,0,11,7,0,0,,0,0,0,0,,2,0,1,1,,0,0,5
E07000041,Exeter,,,176,,24,,3,0,3,1,2,,1,11,0,0,0,3,,3,48,16,16,5,,5,1,1,3,,15,4,10,1,,3,0,41
E07000087,Fareham,,,26,,8,,0,0,0,1,1,,0,4,0,0,0,2,,2,7,2,0,1,,1,0,0,1,,1,0,0,1,,0,0,4
E07000010,Fenland,,,35,,10,,0,0,1,0,2,,0,5,0,0,0,2,,0,12,2,0,0,,1,1,0,0,,3,0,3,0,,0,0,7
E07000112,Folkestone and Hythe,,,40,,12,,1,0,0,0,0,,0,10,0,0,1,0,,2,15,2,3,0,,1,1,0,0,,3,0,1,2,,0,0,2
E07000080,Forest of Dean,,,60,,15,,0,0,1,1,1,,1,8,1,0,0,2,,1,19,13,7,1,,0,0,0,0,,0,0,0,0,,0,0,4
E07000119,Fylde,,,17,,4,,0,0,0,0,0,,0,2,0,0,0,2,,0,6,2,1,1,,0,0,0,0,,0,0,0,0,,0,0,3
E08000037,Gateshead,,,423,,47,,1,0,9,0,4,,0,26,2,5,0,0,,2,89,60,96,36,,12,3,2,7,,6,0,3,3,,8,8,59
E07000173,Gedling,,,47,,15,,0,0,0,0,1,,1,11,0,0,0,2,,2,10,5,1,0,,0,0,0,0,,2,0,0,2,,0,0,12
E07000081,Gloucester,,,119,,44,,0,0,0,0,1,,0,39,0,0,0,4,,0,10,6,29,2,,4,1,0,3,,3,0,1,2,,6,3,12
E07000088,Gosport,,,64,,22,,1,0,1,1,4,,1,11,0,0,0,3,,2,22,1,3,1,,0,0,0,0,,1,0,0,1,,0,0,12
E07000109,Gravesham,,,103,,23,,1,0,1,0,3,,1,14,2,0,1,0,,7,42,8,6,4,,4,3,0,1,,6,1,1,4,,1,0,2
E07000145,Great Yarmouth,,,67,,18,,1,0,0,0,0,,1,14,0,0,0,2,,2,22,6,2,0,,2,0,1,1,,0,0,0,0,,0,0,15
E09000011,Greenwich,,,168,,36,,0,3,2,1,2,,0,16,0,4,1,7,,4,67,2,8,1,,19,19,0,0,,2,1,1,0,,1,0,28
E07000209,Guildford,,,51,,12,,0,0,1,2,1,,0,8,0,0,0,0,,0,22,6,5,1,,1,0,0,1,,2,1,1,0,,0,0,2
E09000012,Hackney,,,153,,17,,0,0,1,0,0,,2,10,0,0,0,4,,1,62,4,11,5,,5,4,1,0,,5,0,0,5,,2,0,41
E06000006,Halton,,,76,,21,,0,0,0,0,1,,0,17,0,0,0,3,,0,20,6,2,1,,18,11,0,7,,1,1,0,0,,0,0,7
E07000164,Hambleton,,,11,,4,,1,0,0,0,0,,0,2,0,0,0,1,,0,2,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,4
E09000013,Hammersmith and Fulham,,,131,,22,,1,0,0,0,5,,0,9,0,0,0,7,,5,66,3,16,2,,3,0,0,3,,0,0,0,0,,1,0,13
E07000131,Harborough,,,26,,4,,0,0,0,0,0,,0,4,0,0,0,0,,2,11,2,0,0,,7,6,1,0,,0,0,0,0,,0,0,0
E09000014,Haringey,,,389,,51,,4,1,0,1,2,,2,12,1,0,0,28,,19,112,14,21,14,,5,1,0,4,,18,0,4,14,,21,2,112
E07000073,Harlow,,,35,,7,,0,0,0,0,0,,0,4,0,0,0,3,,0,14,3,6,0,,0,0,0,0,,0,0,0,0,,0,1,4
E07000165,Harrogate,,,..,,..,,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..,,..,..,..,..,,..,..,..
