"Table  P2 - Number of households whose prevention duty ended by type of accommodation securedEngland, April to June 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known6
,,,,,,,,,,,,,,,,,,,Number of households
,,,Total number of households whose prevention duty ended with accommodation secured1,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known2
,,,,,Total PRS,Of which:,,,,Total SRS,Of which:,,,,,,,,
,,,,,,Self-contained,House in multiple occupation (HMO),Lodging (not with family or friends),,,Council tenancy,Registered Provider tenancy,Supported housing or hostel,,,,,,
E08000004,Oldham,,103,,26,20,6,0,,55,0,43,12,,19,1,1,1,0
E07000178,Oxford,,34,,16,10,5,1,,12,5,6,1,,5,0,0,1,0
E07000122,Pendle,,33,,14,14,0,0,,19,1,14,4,,0,0,0,0,0
E06000031,Peterborough,,96,,41,30,11,0,,34,2,23,9,,9,6,0,4,2
E06000026,Plymouth,,44,,22,18,3,1,,17,2,15,0,,1,2,1,1,0
E06000044,Portsmouth,,41,,24,24,0,0,,4,3,1,0,,9,3,0,1,0
E07000123,Preston,,43,,14,12,2,0,,26,0,20,6,,2,0,1,0,0
E06000038,Reading,,17,,9,8,1,0,,8,5,1,2,,0,0,0,0,0
E09000026,Redbridge,,11,,10,10,0,0,,1,0,0,1,,0,0,0,0,0
E06000003,Redcar & Cleveland,,41,,7,6,1,0,,31,0,30,1,,2,1,0,0,0
E07000236,Redditch,,14,,8,7,1,0,,4,2,1,1,,1,0,0,0,1
E07000211,Reigate & Banstead,,43,,24,22,1,1,,12,0,9,3,,5,1,0,1,0
E07000124,Ribble Valley,,2,,2,2,0,0,,0,0,0,0,,0,0,0,0,0
E09000027,Richmond upon Thames,,10,,6,6,0,0,,0,0,0,0,,4,0,0,0,0
E07000166,Richmondshire,,10,,7,7,0,0,,2,1,1,0,,0,0,0,1,0
E08000005,Rochdale,,153,,19,17,2,0,,121,18,89,14,,7,1,0,1,4
E07000075,Rochford,,29,,17,14,3,0,,11,0,11,0,,1,0,0,0,0
E07000125,Rossendale,,86,,19,19,0,0,,63,0,61,2,,2,0,1,1,0
E07000064,Rother,,14,,8,8,0,0,,5,0,5,0,,0,0,0,0,1
E08000018,Rotherham,,53,,19,18,1,0,,25,13,3,9,,8,1,0,0,0
